event_id,case_id,timestamp,event_type,user,device,source_ip,destination,process,severity,source,label,description
GEN0001-E1,GEN0001,2026-12-04 04:05:00,login_failed,admin,laptop-13,45.63.58.36,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0001-E2,GEN0001,2026-12-04 04:02:00,login_success,admin,laptop-13,45.63.58.36,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0001-E3,GEN0001,2026-12-04 04:01:00,process_start,admin,laptop-13,45.63.58.36,laptop-13,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0001-E4,GEN0001,2026-12-04 04:05:00,dns_query,admin,laptop-13,45.63.58.36,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0001-E5,GEN0001,2026-12-04 04:14:00,analyst_note,admin,laptop-13,45.63.58.36,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0002-E1,GEN0002,2026-09-14 01:28:00,login_failed,admin,laptop-81,91.184.167.180,vpn-gateway,vpn-client,medium,auth_log,suspicious,a foreign ip address makes several failed attempts against admin
GEN0002-E2,GEN0002,2026-09-14 01:51:00,login_success,admin,laptop-81,91.184.167.180,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0002-E3,GEN0002,2026-09-14 01:55:00,process_start,admin,laptop-81,91.184.167.180,laptop-81,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
GEN0002-E4,GEN0002,2026-09-14 01:00:00,dns_query,admin,laptop-81,91.184.167.180,c2.example,powershell.exe,high,dns_log,suspicious,the process queries a domain known to be associated with malware
GEN0002-E5,GEN0002,2026-09-14 01:44:00,analyst_note,admin,laptop-81,91.184.167.180,n/a,n/a,low,analyst_notes,context,no maintenance window was scheduled for this system
GEN0003-E1,GEN0003,2026-06-04 00:24:00,login_failed,admin,vm-53,45.40.56.246,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign ip address
GEN0003-E2,GEN0003,2026-06-04 00:22:00,login_success,admin,vm-53,45.40.56.246,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds moments later from the same foreign ip address
GEN0003-E3,GEN0003,2026-06-04 00:54:00,process_start,admin,vm-53,45.40.56.246,vm-53,powershell.exe,high,endpoint_log,suspicious,a scripting process is launched right after the login
