case_id,scenario,ground_truth_hypothesis,notes
GEN0001,generated credential_compromise scenario #1,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0002,generated credential_compromise scenario #2,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0003,generated credential_compromise scenario #3,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0004,generated credential_compromise scenario #4,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0005,generated credential_compromise scenario #5,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0006,generated credential_compromise scenario #6,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0007,generated credential_compromise scenario #7,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0008,generated credential_compromise scenario #8,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0009,generated credential_compromise scenario #9,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0010,generated credential_compromise scenario #10,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0011,generated credential_compromise scenario #11,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0012,generated credential_compromise scenario #12,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0013,generated credential_compromise scenario #13,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0014,generated credential_compromise scenario #14,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0015,generated credential_compromise scenario #15,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0016,generated credential_compromise scenario #16,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0017,generated credential_compromise scenario #17,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0018,generated credential_compromise scenario #18,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0019,generated credential_compromise scenario #19,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0020,generated credential_compromise scenario #20,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0021,generated credential_compromise scenario #21,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0022,generated credential_compromise scenario #22,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0023,generated credential_compromise scenario #23,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0024,generated credential_compromise scenario #24,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0025,generated credential_compromise scenario #25,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0026,generated credential_compromise scenario #26,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0027,generated credential_compromise scenario #27,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0028,generated credential_compromise scenario #28,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0029,generated credential_compromise scenario #29,credential_compromise,"auto-generated for evaluation, see case_generator.py"
GEN0030,generated credential_compromise scenario #30,credential_compromise,"auto-generated for evaluation, see case_generator.py"
