event_id,case_id,timestamp,event_type,user,device,source_ip,destination,process,severity,source,label,description
E001,CASE001,2026-01-15 08:01:00,login_success,alice,laptop-01,10.0.0.15,internal-vpn,vpn-client,low,auth_log,benign,alice logs in normally from her usual laptop
E002,CASE001,2026-01-15 08:05:00,file_access,alice,laptop-01,10.0.0.15,finance-share,explorer.exe,low,file_audit_log,benign,alice opens a shared finance folder during work hours
E003,CASE001,2026-01-15 02:13:00,login_failed,admin,unknown-device,185.10.20.30,vpn-gateway,vpn-client,medium,auth_log,suspicious,failed login attempt for admin from a foreign IP address at 2 AM
E004,CASE001,2026-01-15 02:14:00,login_success,admin,server-01,185.10.20.30,vpn-gateway,vpn-client,high,auth_log,suspicious,admin login succeeds one minute later from the same foreign IP
E005,CASE001,2026-01-15 02:20:00,process_start,admin,server-01,185.10.20.30,server-01,powershell.exe,high,endpoint_log,suspicious,a PowerShell process is launched right after the admin login
E006,CASE001,2026-01-15 02:22:00,dns_query,admin,server-01,185.10.20.30,malicious-c2.example,powershell.exe,high,dns_log,suspicious,the new process queries a domain known to be associated with malware
E007,CASE001,2026-01-15 02:25:00,file_access,admin,server-01,185.10.20.30,hr-share,explorer.exe,high,file_audit_log,suspicious,sensitive HR files are accessed minutes after the suspicious login
E008,CASE001,2026-01-15 02:26:00,analyst_note,admin,server-01,185.10.20.30,n/a,n/a,medium,analyst_notes,context,no maintenance window was scheduled for this server tonight
E009,CASE001,2026-01-15 09:00:00,analyst_note,admin,server-01,185.10.20.30,n/a,n/a,low,analyst_notes,context,threat intelligence later confirmed the destination domain is not associated with malware after all
E101,CASE002,2026-02-03 23:58:00,login_success,bob,server-02,10.0.0.44,vpn-gateway,vpn-client,medium,auth_log,benign,bob (IT admin) logs in from the internal corporate network at night
E102,CASE002,2026-02-04 00:00:00,process_start,bob,server-02,10.0.0.44,server-02,powershell.exe,medium,endpoint_log,benign,PowerShell is started to run a scheduled patch script
E103,CASE002,2026-02-04 00:02:00,file_access,bob,server-02,10.0.0.44,system-updates,wusa.exe,low,file_audit_log,benign,system update files are read as part of the patch process
E104,CASE002,2026-02-04 00:10:00,dns_query,bob,server-02,10.0.0.44,updates.company-internal.com,wusa.exe,low,dns_log,benign,the process contacts the company's own internal update server
E105,CASE002,2026-02-04 00:15:00,analyst_note,bob,server-02,10.0.0.44,n/a,n/a,low,analyst_notes,context,a maintenance ticket (CHG-4471) authorizes this exact time window
E106,CASE002,2026-02-04 00:20:00,login_success,bob,server-02,10.0.0.44,vpn-gateway,vpn-client,low,auth_log,benign,bob logs out after completing the patch
E201,CASE003,2026-03-10 14:00:00,login_success,carol,laptop-05,10.0.0.22,internal-vpn,vpn-client,low,auth_log,benign,carol logs in normally during work hours
E202,CASE003,2026-03-10 14:05:00,file_access,carol,laptop-05,10.0.0.22,project-share,explorer.exe,low,file_audit_log,benign,"carol opens the shared project folder, part of her normal job"
E203,CASE003,2026-03-12 17:45:00,file_access,carol,laptop-05,10.0.0.22,client-database,explorer.exe,high,file_audit_log,suspicious,"carol accesses the client database and performs an unusually large download of files, well outside normal job duties"
E204,CASE003,2026-03-12 17:50:00,network_upload,carol,laptop-05,10.0.0.22,personal-cloud-storage.example,chrome.exe,high,network_log,suspicious,"minutes later, a large volume of files is uploaded to a personal cloud storage account"
E205,CASE003,2026-03-13 09:00:00,analyst_note,carol,laptop-05,10.0.0.22,n/a,n/a,medium,analyst_notes,context,HR records show this activity occurred just after resignation was submitted
E206,CASE003,2026-03-13 09:05:00,analyst_note,carol,laptop-05,10.0.0.22,n/a,n/a,low,analyst_notes,context,no ticket was found authorizing this bulk transfer of client data
